collection,sample number,design,predated,location,date,temperature,slug,weather
1,1,1,1,1,14/02/2024,9,0,1
1,2,1,1,1,14/02/2024,9,0,1
1,3,1,1,1,14/02/2024,9,0,1
1,4,1,1,1,14/02/2024,9,0,1
1,5,1,1,1,14/02/2024,9,0,1
1,6,1,1,1,14/02/2024,9,0,1
1,7,1,1,1,14/02/2024,9,0,1
1,8,1,1,1,14/02/2024,9,0,1
1,9,1,1,1,14/02/2024,9,0,1
1,10,1,1,1,14/02/2024,9,0,1
1,11,1,1,1,14/02/2024,9,0,1
1,12,1,1,1,14/02/2024,9,0,1
1,13,1,1,1,14/02/2024,9,0,1
1,14,1,1,1,14/02/2024,9,0,1
1,15,1,1,1,14/02/2024,9,0,1
1,16,1,1,1,14/02/2024,9,0,1
1,17,1,1,1,14/02/2024,9,0,1
1,18,1,1,1,14/02/2024,9,0,1
1,19,1,1,1,14/02/2024,9,0,1
1,20,1,1,1,14/02/2024,9,0,1
1,21,1,1,1,14/02/2024,9,0,1
1,22,1,1,1,14/02/2024,9,0,1
1,23,1,1,1,14/02/2024,9,0,1
1,24,1,1,1,14/02/2024,9,0,1
1,25,1,1,1,14/02/2024,9,0,1
1,26,1,1,1,14/02/2024,9,0,1
1,27,1,1,1,14/02/2024,9,0,1
1,28,1,0,1,14/02/2024,9,0,1
1,29,1,0,1,14/02/2024,9,0,1
1,30,1,0,1,14/02/2024,9,0,1
1,31,1,0,1,14/02/2024,9,0,1
1,32,1,0,1,14/02/2024,9,0,1
1,33,1,0,1,14/02/2024,9,0,1
1,34,1,0,1,14/02/2024,9,0,1
1,35,1,0,1,14/02/2024,9,0,1
1,36,1,0,1,14/02/2024,9,0,1
1,37,1,0,1,14/02/2024,9,0,1
1,38,1,0,1,14/02/2024,9,0,1
1,39,1,0,1,14/02/2024,9,0,1
1,40,1,0,1,14/02/2024,9,0,1
1,41,2,1,1,14/02/2024,9,0,1
1,42,2,1,1,14/02/2024,9,0,1
1,43,2,1,1,14/02/2024,9,0,1
1,44,2,1,1,14/02/2024,9,0,1
1,45,2,1,1,14/02/2024,9,0,1
1,46,2,1,1,14/02/2024,9,0,1
1,47,2,1,1,14/02/2024,9,0,1
1,48,2,1,1,14/02/2024,9,0,1
1,49,2,1,1,14/02/2024,9,0,1
1,50,2,1,1,14/02/2024,9,0,1
1,51,2,1,1,14/02/2024,9,0,1
1,52,2,1,1,14/02/2024,9,0,1
1,53,2,1,1,14/02/2024,9,0,1
1,54,2,1,1,14/02/2024,9,0,1
1,55,2,1,1,14/02/2024,9,0,1
1,56,2,1,1,14/02/2024,9,0,1
1,57,2,1,1,14/02/2024,9,0,1
1,58,2,1,1,14/02/2024,9,0,1
1,59,2,1,1,14/02/2024,9,0,1
1,60,2,1,1,14/02/2024,9,0,1
1,61,2,1,1,14/02/2024,9,0,1
1,62,2,1,1,14/02/2024,9,0,1
1,63,2,1,1,14/02/2024,9,0,1
1,64,2,0,1,14/02/2024,9,0,1
1,65,2,0,1,14/02/2024,9,0,1
1,66,2,0,1,14/02/2024,9,0,1
1,67,2,0,1,14/02/2024,9,0,1
1,68,2,0,1,14/02/2024,9,0,1
1,69,2,0,1,14/02/2024,9,0,1
1,70,2,0,1,14/02/2024,9,0,1
1,71,2,0,1,14/02/2024,9,0,1
1,72,2,0,1,14/02/2024,9,0,1
1,73,2,0,1,14/02/2024,9,0,1
1,74,2,0,1,14/02/2024,9,0,1
1,75,2,0,1,14/02/2024,9,0,1
1,76,2,0,1,14/02/2024,9,0,1
1,77,2,0,1,14/02/2024,9,0,1
1,78,2,0,1,14/02/2024,9,0,1
1,81,3,1,1,14/02/2024,9,0,1
1,82,3,1,1,14/02/2024,9,0,1
1,83,3,1,1,14/02/2024,9,0,1
1,84,3,1,1,14/02/2024,9,0,1
1,85,3,1,1,14/02/2024,9,0,1
1,86,3,1,1,14/02/2024,9,0,1
1,87,3,1,1,14/02/2024,9,0,1
1,88,3,1,1,14/02/2024,9,0,1
1,89,3,1,1,14/02/2024,9,0,1
1,90,3,1,1,14/02/2024,9,0,1
1,91,3,1,1,14/02/2024,9,0,1
1,92,3,1,1,14/02/2024,9,0,1
1,93,3,1,1,14/02/2024,9,0,1
1,94,3,1,1,14/02/2024,9,0,1
1,95,3,1,1,14/02/2024,9,0,1
1,96,3,1,1,14/02/2024,9,0,1
1,97,3,1,1,14/02/2024,9,0,1
1,98,3,1,1,14/02/2024,9,0,1
1,99,3,1,1,14/02/2024,9,0,1
1,100,3,1,1,14/02/2024,9,0,1
1,101,3,1,1,14/02/2024,9,0,1
1,102,3,1,1,14/02/2024,9,0,1
1,103,3,1,1,14/02/2024,9,0,1
1,104,3,1,1,14/02/2024,9,0,1
1,105,3,0,1,14/02/2024,9,0,1
1,106,3,0,1,14/02/2024,9,0,1
1,107,3,0,1,14/02/2024,9,0,1
1,108,3,0,1,14/02/2024,9,0,1
1,109,3,0,1,14/02/2024,9,0,1
1,110,3,0,1,14/02/2024,9,0,1
1,111,3,0,1,14/02/2024,9,0,1
1,112,3,0,1,14/02/2024,9,0,1
1,113,3,0,1,14/02/2024,9,0,1
1,114,3,0,1,14/02/2024,9,0,1
1,115,3,0,1,14/02/2024,9,0,1
1,116,3,0,1,14/02/2024,9,0,1
1,117,3,0,1,14/02/2024,9,0,1
1,118,3,0,1,14/02/2024,9,0,1
1,119,3,0,1,14/02/2024,9,0,1
2,121,1,1,2,14/02/2024,9,0,1
2,122,1,1,2,14/02/2024,9,0,1
2,123,1,1,2,14/02/2024,9,0,1
2,124,1,1,2,14/02/2024,9,0,1
2,125,1,1,2,14/02/2024,9,0,1
2,126,1,1,2,14/02/2024,9,0,1
2,127,1,1,2,14/02/2024,9,0,1
2,128,1,1,2,14/02/2024,9,0,1
2,129,1,1,2,14/02/2024,9,0,1
2,130,1,1,2,14/02/2024,9,0,1
2,131,1,1,2,14/02/2024,9,0,1
2,132,1,1,2,14/02/2024,9,0,1
2,133,1,1,2,14/02/2024,9,0,1
2,134,1,1,2,14/02/2024,9,0,1
2,135,1,1,2,14/02/2024,9,0,1
2,136,1,1,2,14/02/2024,9,0,1
2,137,1,1,2,14/02/2024,9,0,1
2,138,1,1,2,14/02/2024,9,0,1
2,139,1,1,2,14/02/2024,9,0,1
2,140,1,1,2,14/02/2024,9,0,1
2,141,1,1,2,14/02/2024,9,0,1
2,142,1,1,2,14/02/2024,9,0,1
2,143,1,1,2,14/02/2024,9,0,1
2,144,1,1,2,14/02/2024,9,0,1
2,145,1,1,2,14/02/2024,9,0,1
2,146,1,1,2,14/02/2024,9,0,1
2,147,1,1,2,14/02/2024,9,0,1
2,148,1,1,2,14/02/2024,9,0,1
2,149,1,0,2,14/02/2024,9,0,1
2,150,1,0,2,14/02/2024,9,0,1
2,151,1,0,2,14/02/2024,9,0,1
2,152,1,0,2,14/02/2024,9,0,1
2,153,1,0,2,14/02/2024,9,0,1
2,154,1,0,2,14/02/2024,9,0,1
2,155,1,0,2,14/02/2024,9,0,1
2,156,1,0,2,14/02/2024,9,0,1
2,157,1,0,2,14/02/2024,9,0,1
2,158,1,0,2,14/02/2024,9,0,1
2,159,1,0,2,14/02/2024,9,0,1
2,160,1,0,2,14/02/2024,9,0,1
2,161,2,1,2,14/02/2024,9,0,1
2,162,2,1,2,14/02/2024,9,0,1
2,163,2,1,2,14/02/2024,9,0,1
2,164,2,1,2,14/02/2024,9,0,1
2,165,2,1,2,14/02/2024,9,0,1
2,166,2,1,2,14/02/2024,9,0,1
2,167,2,1,2,14/02/2024,9,0,1
2,168,2,1,2,14/02/2024,9,0,1
2,169,2,1,2,14/02/2024,9,0,1
2,170,2,1,2,14/02/2024,9,0,1
2,171,2,1,2,14/02/2024,9,0,1
2,172,2,1,2,14/02/2024,9,0,1
2,173,2,1,2,14/02/2024,9,0,1
2,174,2,1,2,14/02/2024,9,0,1
2,175,2,1,2,14/02/2024,9,0,1
2,176,2,1,2,14/02/2024,9,0,1
2,177,2,0,2,14/02/2024,9,0,1
2,178,2,0,2,14/02/2024,9,0,1
2,179,2,0,2,14/02/2024,9,0,1
2,180,2,0,2,14/02/2024,9,0,1
2,181,2,0,2,14/02/2024,9,0,1
2,182,2,0,2,14/02/2024,9,0,1
2,183,2,0,2,14/02/2024,9,0,1
2,184,2,0,2,14/02/2024,9,0,1
2,185,2,0,2,14/02/2024,9,0,1
2,186,2,0,2,14/02/2024,9,0,1
2,187,2,0,2,14/02/2024,9,0,1
2,188,2,0,2,14/02/2024,9,0,1
2,189,2,0,2,14/02/2024,9,0,1
2,190,2,0,2,14/02/2024,9,0,1
2,191,2,0,2,14/02/2024,9,0,1
2,192,2,0,2,14/02/2024,9,0,1
2,193,2,0,2,14/02/2024,9,0,1
2,194,2,0,2,14/02/2024,9,0,1
2,195,2,0,2,14/02/2024,9,0,1
2,196,2,0,2,14/02/2024,9,0,1
2,197,2,0,2,14/02/2024,9,0,1
2,198,2,0,2,14/02/2024,9,0,1
2,199,2,0,2,14/02/2024,9,0,1
2,201,3,1,2,14/02/2024,9,0,1
2,202,3,1,2,14/02/2024,9,0,1
2,203,3,1,2,14/02/2024,9,0,1
2,204,3,1,2,14/02/2024,9,0,1
2,205,3,1,2,14/02/2024,9,0,1
2,206,3,1,2,14/02/2024,9,0,1
2,207,3,1,2,14/02/2024,9,0,1
2,208,3,1,2,14/02/2024,9,0,1
2,209,3,1,2,14/02/2024,9,0,1
2,210,3,1,2,14/02/2024,9,0,1
2,211,3,1,2,14/02/2024,9,0,1
2,212,3,1,2,14/02/2024,9,0,1
2,213,3,1,2,14/02/2024,9,0,1
2,214,3,1,2,14/02/2024,9,0,1
2,215,3,1,2,14/02/2024,9,0,1
2,216,3,1,2,14/02/2024,9,0,1
2,217,3,1,2,14/02/2024,9,0,1
2,218,3,1,2,14/02/2024,9,0,1
2,219,3,1,2,14/02/2024,9,0,1
2,220,3,0,2,14/02/2024,9,0,1
2,221,3,0,2,14/02/2024,9,0,1
2,222,3,0,2,14/02/2024,9,0,1
2,223,3,0,2,14/02/2024,9,0,1
2,224,3,0,2,14/02/2024,9,0,1
2,225,3,0,2,14/02/2024,9,0,1
